No;French name;Dutch name;Postal code;Population;Area in km2;Population density;Latitude;Longitude
1;Anderlecht;Anderlecht;1070;118241;17.7;6680;50,83785;4,3266
2;Auderghem;Oudergem;1160;33313;9.0;3701;50,82955;4,39315
3;Berchem-Sainte-Agathe;Sint-Agatha-Berchem;1082;24701;2.9;8,518;50,8667;4,2833
4;Bruxelles-Ville;Stad Brussel;1000;176545;32.6;5,415;50,83785;4,34315
5;Etterbeek;Etterbeek;1040;47414;3.1;15,295;50,83633333;4,356533333
6;Evere;Evere;1140;40394;5.0;8,079;50,85455;4,3765
7;Forest;Vorst;1190;55746;6.2;8,991;50,8212;4,33485
8;Ganshoren;Ganshoren;1083;24596;2.5;9,838;50,8667;4,3
9;Ixelles;Elsene;1050;86244;6.3;13,69;50,83633333;4,351
10;Jette;Jette;1090;51933;5.0;10,387;50,85455;4,34315
11;Koekelberg;Koekelberg;1081;21609;1.2;18,008;50,8667;4,3333
12;Molenbeek-Saint-Jean;Sint-Jans-Molenbeek;1080;96629;5.9;16,378;50,8462;4,33485
13;Saint-Gilles;Sint-Gillis;1060;50471;2.5;20,188;50,82955;4,34315
14;Saint-Josse-ten-Noode;Sint-Joost-ten-Node;1210;27115;1.1;24,65;50,8462;4,3515
15;Schaerbeek;Schaarbeek;1030;133042;8.1;16,425;50,8462;4,36815
16;Uccle;Ukkel;1180;82307;22.9;3,594;50,8212;4,33485
17;Watermael-Boitsfort;Watermaal-Bosvoorde;1170;24871;12.9;1,928;50,8212;4,3765
18;Woluwe-Saint-Lambert;Sint-Lambrechts-Woluwe;1200;55216;7.2;7,669;50,8462;4,3765
19;Woluwe-Saint-Pierre;Sint-Pieters-Woluwe;1150;41217;8.9;4,631;50,83000;4,4335
